395;-365;-5;0.09
-395;-355;-5;0.15
-385;-355;-5;0.21
-375;-355;-5;0.24
-365;-355;-5;0.27
-355;-355;-5;0.3
-345;-355;-5;0.27
-325;-355;-5;0.21
-315;-355;-5;0.24
-305;-355;-5;0.21
-295;-355;-5;0.21
-285;-355;-5;0.21
-275;-355;-5;0.24
-265;-355;-5;0.24
-235;-355;-5;0.12
-225;-355;-5;0.21
-215;-355;-5;0.24
-205;-355;-5;0.18
-195;-355;-5;0.21
-175;-355;-5;0.24
-165;-355;-5;0.21
-155;-355;-5;0.18
-145;-355;-5;0.39
-135;-355;-5;0.33
-125;-355;-5;0.12
-115;-355;-5;0.09
-105;-355;-5;0.21
-95;-355;-5;0.27
-85;-355;-5;0.27
-75;-355;-5;0.24
-65;-355;-5;0.33
-55;-355;-5;0.15
-45;-355;-5;0.27
-35;-355;-5;0.33
-25;-355;-5;0.09
-15;-355;-5;0.33
5;-355;-5;0.09
15;-355;-5;0.15
25;-355;-5;0.24
35;-355;-5;0.27
45;-355;-5;0.12
55;-355;-5;0.18
65;-355;-5;0.33
75;-355;-5;0.12
85;-355;-5;0.24
95;-355;-5;0.27
105;-355;-5;0.09
115;-355;-5;0.12
125;-355;-5;0.21
135;-355;-5;0.12
145;-355;-5;0.33
155;-355;-5;0.12
165;-355;-5;0.36
175;-355;-5;0.33
185;-355;-5;0.21
195;-355;-5;0.21
225;-355;-5;0.27
235;-355;-5;0.24
245;-355;-5;0.18
255;-355;-5;0.09
265;-355;-5;0.27
275;-355;-5;0.33
285;-355;-5;0.18
295;-355;-5;0.24
305;-355;-5;0.33
315;-355;-5;0.27
325;-355;-5;0.3
335;-355;-5;0.21
345;-355;-5;0.33
355;-355;-5;0.24
365;-355;-5;0.18
385;-355;-5;0.15
395;-355;-5;0.12
-395;-345;-5;0.06
-385;-345;-5;0.24
-365;-345;-5;0.15
-355;-345;-5;0.3
-345;-345;-5;0.3
-335;-345;-5;0.36
-325;-345;-5;0.24
-315;-345;-5;0.27
-305;-345;-5;0.3
-295;-345;-5;0.27
-285;-345;-5;0.12
-275;-345;-5;0.24
-265;-345;-5;0.21
-255;-345;-5;0.3
-235;-345;-5;0.24
-225;-345;-5;0.27
-215;-345;-5;0.21
-205;-345;-5;0.18
-195;-345;-5;0.3
-185;-345;-5;0.21
-175;-345;-5;0.3
-165;-345;-5;0.33
-155;-345;-5;0.18
-145;-345;-5;0.27
-135;-345;-5;0.24
-125;-345;-5;0.36
-115;-345;-5;0.18
-105;-345;-5;0.24
-95;-345;-5;0.18
-85;-345;-5;0.15
-75;-345;-5;0.15
-65;-345;-5;0.33
-45;-345;-5;0.18
-35;-345;-5;0.21
-25;-345;-5;0.18
